AH,AH,"Construction of New 11/0.433 KV, 100 KVA Distribution Transformers on 13 Mtr. 105 lb Rail Pole",,34,17,51,,
AH,1,3-Ph-100 KVA Distribution Transformer,No.,34,17,51,245113.45,9804.538
AH,2,"Rail Pole 105 lb, 13 meter",No.,68,34,102,52203.155,2088.1262
AH,3,"Supply & fabrication of channel for supporting transformers/ AB switch, channel for supporting DO fuse & Las channel support for transformer belting, belting support, clamps for AB switch base channel 2 pairs, angle for LT distribution bus for DTs",Kg,9010,4505,13515,95.7,3.828
AH,4,AB Switch 3 Pin type double break ( horizontal) 11 kV 3 pole 200 Amp,Set,34,17,51,13000.7,520.028
AH,5,Distribution box with MCCB for 3 ph 100 kVA DTs with CT operated energy meter,No.,34,17,51,23925,957
AH,6,HG Fuse sets 11 kV with insulators etc for 3 ph transformers - 200 Amp,Set,34,17,51,5075,203
AH,7,11 kv lightning Arrester,Nos,102,51,153,507.5,20.3
AH,8,"Pipe type earthing including supply of all materials like 40mm dia, 3M long GI pipe charcoal & salt as required in all kind of soil all complete as per REC construction drawing J-2 & approved drawing & TS including excavation, refilling with salt & charcoal , fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge",Nos,102,51,153,3045,121.8
AH,9,Nuts & Bolts,Kg,408,204,612,127.165,5.0866
AH,10,Supply for ACSR conductors,,0,0,0,0,0
AH,a,ACSR Dog Conductor,KM,0.68,0.34,1.02,82711.7,3308.468
AH,11,PG Clamps suitable for connection to ACSR Rabbit conductor,No.,204,102,306,181.25,7.25
AH,12,Crimping type heavy duty aluminium lugs suitable for connection in rewirable kit kat fuse & connecting ACSR conductor/ PVC cables,LS,544,272,816,362.5,14.5
AH,13,Insulators as per TS,,0,0,0,0,0
AH,a,11 kV Disc insulator 45 KN (Single Disc) with hardware fittings suitable for ACSR Dog/ Rabbit/ Weasel conductor,Set,204,102,306,398.75,15.95
AH,b,11 kV Pin insulator with Pin,No.,204,102,306,108.75,4.35
AH,c,LT Pin insulator with Pin,No.,102,51,153,17.4,0.696
AH,d,LT Shackle insulator assembly complete as per specification (Type- II),No.,272,136,408,14.5,0.58
AH,14,"Stay set complete along with guy insulator, stay clamp, guy grip, stay base plate, 7/12 SWG GI stay wire complete as per specification and drawing",,0,0,0,0,0
AH,a,Stay wire 7/12 SWG,Set,68,34,102,507.5,20.3
AH,b,Stay Insulator,no.,68,34,102,21.75,0.87
AH,c,Stay Rod assembly,Set,68,34,102,725,29
AH,d,Stone stay Plate/ Stay Base plate ( 150 x 150 x 6 mm),Set,68,34,102,181.25,7.25
AH,15,Danger board (for both pole of new DSS),No.,34,17,51,116,4.64
AH,16,Anticlimbing device (for both pole of new DSS),No.,68,34,102,153.7,6.148
AH,17,1.1 kV grade 3&1/2 core 120 sqmm size PVC insulated PVC sheathed aluminium conductor cable,Meter,2040,1020,3060,52.2,2.088
AH,18,Stone base plate,Nos,68,34,102,181.25,7.25
AI,AI,"Construction of New 11/0.433 KV, 200 KVA Distribution Transformers on 9 Mtr. 400 Kg PSC Pole",,50,12,62,,
AI,1,3-Ph-200 KVA Distribution Transformer,No.,50,12,62,346695,13867.8
AI,2,9 mtrs long 400 kg PSC Pole,No.,100,24,124,5694.15,427.06125
AI,3,"Supply & fabrication of channel for supporting transformers/ AB switch, channel for supporting DO fuse & Las channel support for transformer belting, belting support, clamps for AB switch base channel 2 pairs, angle for LT distribution bus for DTs",Kg,13250,3180,16430,95.7,3.828
AI,4,AB Switch 3 Pin type double break ( horizontal) 11 kV 3 pole 400 Amp,Set,50,12,62,13000.7,520.028
AI,5,Distribution box with MCCB for 3 ph 200 kVA DTs with CT operated energy meter,No.,50,12,62,23925,957
AI,6,HG Fuse sets 11 kV with insulators etc for 3 ph transformers - 200 Amp,Set,50,12,62,5075,203
AI,7,11 kv lightning Arrester,Nos,150,36,186,507.5,20.3
AI,8,"Pipe type earthing including supply of all materials like 40mm dia, 3M long GI pipe charcoal & salt as required in all kind of soil all complete as per REC construction drawing J-2 & approved drawing & TS including excavation, refilling with salt & charcoal , fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge",Nos,150,36,186,3045,121.8
AI,9,Nuts & Bolts,Kg,600,144,744,127.165,5.0866
AI,10,Supply for ACSR conductors,,0,0,0,0,0
AI,a,ACSR Dog Conductor,KM,1,0.24,1.24,82711.7,3308.468
AI,11,PG Clamps suitable for connection to ACSR Rabbit conductor,No.,300,72,372,181.25,7.25
AI,12,Crimping type heavy duty aluminium lugs suitable for connection in rewirable kit kat fuse & connecting ACSR conductor/ PVC cables,LS,800,192,992,362.5,14.5
AI,13,Insulators as per TS,,0,0,0,0,0
AI,a,11 kV Disc insulator 45 KN (Single Disc) with hardware fittings suitable for ACSR Dog/ Rabbit/ Weasel conductor,Set,300,72,372,398.75,15.95
AI,b,11 kV Pin insulator with Pin,No.,300,72,372,108.75,4.35
AI,c,LT Pin insulator with Pin,No.,150,36,186,17.4,0.696
AI,d,LT Shackle insulator assembly complete as per specification (Type- II),No.,400,96,496,14.5,0.58
AI,14,"Stay set complete along with guy insulator, stay clamp, guy grip, stay base plate, 7/12 SWG GI stay wire complete as per specification and drawing",,0,0,0,0,0
AI,a,Stay wire 7/12 SWG,Set,100,24,124,507.5,20.3
AI,b,Stay Insulator,no.,100,24,124,21.75,0.87
AI,c,Stay Rod assembly,Set,100,24,124,725,29
AI,d,Stone stay Plate/ Stay Base plate ( 150 x 150 x 6 mm),Set,100,24,124,181.25,7.25
AI,15,Danger board (for both pole of new DSS),No.,50,12,62,116,4.64
AI,16,Anticlimbing device (for both pole of new DSS),No.,100,24,124,153.7,6.148
AI,17,1.1 kV grade 3&1/2 core 120 sqmm size PVC insulated PVC sheathed aluminium conductor cable,Meter,3000,720,3720,52.2,2.088
AI,18,Stone base plate,Nos,100,24,124,181.25,7.25
AJ,AJ,"Construction of New 11/0.433 KV, 200 KVA Distribution Transformers on 13 Mtr. 105 lb Rail Pole",,19,10,29,,
AJ,1,3-Ph-200 KVA Distribution Transformer,No.,19,10,29,346695,13867.8
AJ,2,"Rail Pole 105 lb, 13 meter",No.,38,20,58,52203.155,2088.1262
AJ,3,"Supply & fabrication of channel for supporting transformers/ AB switch, channel for supporting DO fuse & Las channel support for transformer belting, belting support, clamps for AB switch base channel 2 pairs, angle for LT distribution bus for DTs",Kg,5035,2650,7685,95.7,3.828
AJ,4,AB Switch 3 Pin type double break ( horizontal) 11 kV 3 pole 400 Amp,Set,19,10,29,13000.7,520.028
AJ,5,Distribution box with MCCB for 3 ph 200 kVA DTs with CT operated energy meter,No.,19,10,29,23925,957
AJ,6,HG Fuse sets 11 kV with insulators etc for 3 ph transformers - 200 Amp,Set,19,10,29,5075,203
AJ,7,11 kv lightning Arrester,Nos,57,30,87,507.5,20.3
AJ,8,"Pipe type earthing including supply of all materials like 40mm dia, 3M long GI pipe charcoal & salt as required in all kind of soil all complete as per REC construction drawing J-2 & approved drawing & TS including excavation, refilling with salt & charcoal , fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge",Nos,57,30,87,3045,121.8
AJ,9,Nuts & Bolts,Kg,228,120,348,127.165,5.0866
AJ,10,Supply for ACSR conductors,,0,0,0,0,0
AJ,a,ACSR Dog Conductor,KM,0.38,0.2,0.58,82711.7,3308.468
AJ,11,PG Clamps suitable for connection to ACSR Rabbit conductor,No.,114,60,174,181.25,7.25
AJ,12,Crimping type heavy duty aluminium lugs suitable for connection in rewirable kit kat fuse & connecting ACSR conductor/ PVC cables,LS,304,160,464,362.5,14.5
AJ,13,Insulators as per TS,,0,0,0,0,0
AJ,a,11 kV Disc insulator 45 KN (Single Disc) with hardware fittings suitable for ACSR Dog/ Rabbit/ Weasel conductor,Set,114,60,174,398.75,15.95
AJ,b,11 kV Pin insulator with Pin,No.,114,60,174,108.75,4.35
AJ,c,LT Pin insulator with Pin,No.,57,30,87,17.4,0.696
AJ,d,LT Shackle insulator assembly complete as per specification (Type- II),No.,152,80,232,14.5,0.58
AJ,14,"Stay set complete along with guy insulator, stay clamp, guy grip, stay base plate, 7/12 SWG GI stay wire complete as per specification and drawing",,0,0,0,0,0
AJ,a,Stay wire 7/12 SWG,Set,38,20,58,507.5,20.3
AJ,b,Stay Insulator,no.,38,20,58,21.75,0.87
AJ,c,Stay Rod assembly,Set,38,20,58,725,29
AJ,d,Stone stay Plate/ Stay Base plate ( 150 x 150 x 6 mm),Set,38,20,58,181.25,7.25
AJ,15,Danger board (for both pole of new DSS),No.,19,10,29,116,4.64
AJ,16,Anticlimbing device (for both pole of new DSS),No.,38,20,58,153.7,6.148
AJ,17,1.1 kV grade 3&1/2 core 120 sqmm size PVC insulated PVC sheathed aluminium conductor cable,Meter,1140,600,1740,52.2,2.088
AJ,18,Stone base plate,Nos,38,20,58,181.25,7.25
AL,AL,"Construction of New LT Line 8M, 200Kg PSC Pole using 3Cx95 Sqmm size ABC Cable",,74,30,104,,
AL,1,Survey,Kms,74,30,104,0,0
AL,2,Aerial Bunched Cable (3Cx95+1X16+1x35 sq. mm. (Bare messenger) ),Kms,77.7,31.5,109.2,269700,10788
AL,3,"PSC Pole, 200 Kg, 8 Meters long",No,1776,720,2496,3500,262.5
AL,4,Nuts & Bolts,Kg,740,300,1040,127.165,5.0866
AL,5,Stay set complete with GI stay wire preformed grip and Anchor plate as per TS,Set,740,300,1040,1724.05,68.962
AL,6,"Spiral type earthing as per REC construction drawing J-1 including supply of all materials like 8 SWG G.I. wire closely wound having 115 turns, 50mm dia & 450mm long coil (untreated without charcoal & salt) in all type of soil including excavation, refilling with earth, fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge (individual pole earthing)",Nos,740,300,1040,152.25,6.09
AL,7,"Suspension Clamps assembly suitable for bare messanger (1 no suspension clamp with bracket, 1.5Mtr stainless steel strap, 2 No buckle) including service clamp for proper support of service cable with Pole, pole bracket for service clamp with 1.5 mtr. stainless steel strap, 2 nos. buckle, insulation peircing multiport connector, insulation peircing connector for networking/insulation peircing connector for branching,/ earthing , peircing earthing connector, pre insulated bimetallic termination lug for phase & neutral, mid span joint for phases, mid span joint for neutral massenger etc. complete in all respect to complete the system.",Nos,1184,480,1664,181.25,7.25
AL,8,Tension / Dead end clamps,Nos,814,330,1144,129.05,5.162
AL,9,AB Cable jointing Kit,Nos,148,60,208,580,23.2
AL,10,Stone base plate,Nos,1776,720,2496,181.25,7.25
AN,AN,"Conversion of Single Phase LT Line to Three Phase , 4 wire Line",,59.15,42.3,101.45,,
AN,1,Route Survey,Kms,59.15,42.3,101.45,,
AN,2,Shackle Insulator & straps,Set,5205.2,3722.4,8927.6,65.25,2.61
AN,3,ACSR Waesel equivalent,Kms,182.7735,130.707,313.4805,28727.3,1149.092
AN,4,"Supply & fabrication of LT Brackett made of 75*40*6 mm MS Channel along with back clamp made of MS flat 50*6 mm ,Guard bracket made of MS angle 50*50*6 mm ,stay clamps & angle stay clamps and other fabricated materials",KG,14787.5,10575,25362.5,95.7,3.828
AN,5,"Stay set complete with GI stay wire preformed guy and stay base plate,along with stay rod assembly etc",Set,354.9,253.8,608.7,1724.05,68.962
AN,6,"Spiral type earthing as per REC construction drawing J-1 including supply of all materials like 8 SWG G.I. wire closely wound having 115 turns, 50mm dia & 450mm long coil (untreated without charcoal & salt) in all type of soil including excavation, refilling with earth, fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge (individual pole earthing)",Set,295.75,211.5,507.25,150.8,6.032
AN,7,Nuts & Bolts,Kg,946.4,676.8,1623.2,127.165,5.0866
AN,8,Aluminium wire binding,Kg,1.183,0.846,2.029,210.25,8.41
AN,9,Preformed Jointing Sleeve,Nos.,59.15,42.3,101.45,130.5,5.22
AN,10,LT PVC Spacers,No,3549,2538,6087,65.25,2.61
AN,11,8 SWG 4 mm GI wire for Guarding & Lacing @ 1.1 Km per guard wire (101 Kg/Km of 8 SWG GI Wire),MT,0.597415,0.42723,1.024645,71814.15,2872.566
AN,12,PG Clamps suitable for Rabbit/Weasel/Dog Conductors,Nos.,709.8,507.6,1217.4,181.25,7.25
AO,AO,"Construction of 3 Phase 4 Wire LT Line on 8M, 200 Kg PSC with ACSR Weasel Conductor in Vertical configuration",,125,13,138,,
AO,1,Route Survey,Kms,125,13,138,0,0
AO,2,"PSC Pole, 200 Kg 8 mtr. Long",No,2500,260,2760,3500,262.5
AO,3,Shackle Insulator & straps ( Type- II),Set,11000,1144,12144,65.25,2.61
AO,4,ACSR Weasel equivalent,Kms,515,53.56,568.56,28727.3,1149.092
AO,5,"Supply & fabrication of U clamps LT conductor dead end,stay clamps & angle stay clamps and other fabricated materials",Kg,6250,650,6900,87,3.48
AO,6,Stay set complete with GI stay wire preformed guy and stay base plate,Set,1000,104,1104,1724.05,68.962
AO,7,"Spiral type earthing as per REC construction drawing J-1 including supply of all materials like 8 SWG G.I. wire closely wound having 115 turns, 50mm dia & 450mm long coil (untreated without charcoal & salt) in all type of soil including excavation, refilling with earth, fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge (individual pole earthing)",Set,1250,130,1380,150.8,6.032
AO,8,Nuts & Bolts with plain and spring washer,Kg,4000,416,4416,127.165,5.0866
AO,9,Aluminium wire binding,Kg,2.5,0.26,2.76,210.25,8.41
AO,10,Preformed Jointing Sleeve,Nos.,125,13,138,130.5,5.22
AO,11,LT PVC Spacers,No,7500,780,8280,65.25,2.61
AO,12,8 SWG 4 mm GI wire for Guarding & Lacing @ 1.1 Km per guard wire (101 Kg/Km of 8 SWG GI Wire),MT,1.2625,0.1313,1.3938,71814.15,2872.566
AO,13,PG Clamps suitable for Rabbit/Weasel/Dog Conductors,Nos.,1500,156,1656,181.25,7.25
AO,14,Stone base plate,Nos,2500,260,2760,181.25,7.25
AQ,AQ,"Augmentation of 11/0.433 KV, 63 KVA to 100 KVA Distribution Transformers (released)",,84,69,153,,
AQ,1,3-Ph 100 KVA Distribution Transformer,No.,0,0,0,245113.45,9804.538
AQ,2,8 mtrs long 200 kg PSC Pole,No.,0,0,0,3500,262.5
AQ,3,"Supply & fabrication of channel for supporting transformers/ AB switch, channel for supporting DO fuse & Las channel support for transformer belting, belting support, clamps for AB switch base channel 2 pairs, angle for LT distribution bus for DTs",Kg,0,0,0,87,3.48
AQ,4,AB Switch 3 Pin type double break ( horizontal) 11 kV 3 pole 200 Amp,Set,84,69,153,13000.7,520.028
AQ,5,Distribution box with MCCB for 3 ph 100 kVA DTs with CT operated energy meter,No.,84,69,153,23925,957
AQ,6,HG Fuse sets 11 kV with insulators etc for 3 ph transformers - 200 Amp,Set,84,69,153,5075,203
AQ,7,11 kv lightning Arrester,Nos,252,207,459,507.5,20.3
AQ,8,"Pipe type earthing including supply of all materials like 40mm dia, 3M long GI pipe charcoal & salt as required in all kind of soil all complete as per REC construction drawing J-2 & approved drawing & TS including excavation, refilling with salt & charcoal , fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge",Nos,252,207,459,1305,52.2
AQ,9,Nuts & Bolts,Kg,504,414,918,127.165,5.0866
AQ,10,Supply for ACSR conductors,,0,0,0,0,0
AQ,a,ACSR Dog Conductor,KM,1.68,1.38,3.06,82711.7,3308.468
AQ,11,PG Clamps suitable for connection to ACSR Rabbit conductor,No.,504,414,918,181.25,7.25
AQ,12,Crimping type heavy duty aluminium lugs suitable for connection in rewirable kit kat fuse & connecting ACSR conductor/ PVC cables,No,1680,1380,3060,435,17.4
AQ,13,Insulators as per TS,,0,0,0,0,0
AQ,a,11 kV Disc insulator 45 KN (Single Disc) with hardware fittings suitable for ACSR Dog/ Rabbit/ Weasel conductor,Set,0,0,0,398.75,15.95
AQ,b,11 kV Pin insulator with Pin,No.,0,0,0,108.75,4.35
AQ,c,LT Pin insulator with Pin,No.,0,0,0,17.4,0.696
AQ,d,LT Shackle insulator assembly complete as per specification (Type- II),No.,0,0,0,14.5,0.58
AQ,14,"Stay set complete along with guy insulator, stay clamp, guy grip, stay base plate, 7/12 SWG GI stay wire complete as per specification and drawing",,0,0,0,0,0
AQ,a,Stay wire 7/12 SWG,Set,0,0,0,507.5,20.3
AQ,b,Stay Insulator,no.,0,0,0,21.75,0.87
AQ,c,Stay Rod assembly,Set,0,0,0,725,29
AQ,d,Stone stay Plate/ Stay Base plate ( 150 x 150 x 6 mm),Set,0,0,0,181.25,7.25
AQ,15,Danger board (for both pole of new DSS),No.,0,0,0,116,4.64
AQ,16,Anticlimbing device (for both pole of new DSS),No.,0,0,0,153.7,6.148
AQ,17,1.1 kV grade 3&1/2 core 120 sqmm size PVC insulated PVC sheathed aluminium conductor cable,Meter,2520,2070,4590,52.2,2.088
AQ,18,Stone base plate,Nos,0,0,0,181.25,7.25
AR,AR,"Augmentation of 11/0.433 KV, 100 KVA to 200 KVA Distribution Transformers",,84,69,153,,
AR,1,3-Ph 200 KVA Distribution Transformer,No.,84,69,153,346695,13867.8
AR,2,8 mtrs long 200 kg PSC Pole,No.,0,0,0,3500,262.5
AR,3,"Supply & fabrication of channel for supporting transformers/ AB switch, channel for supporting DO fuse & Las channel support for transformer belting, belting support, clamps for AB switch base channel 2 pairs, angle for LT distribution bus for DTs",Kg,840,690,1530,87,3.48
AR,4,AB Switch 3 Pin type double break ( horizontal) 11 kV 3 pole 200 Amp,Set,84,69,153,13000.7,520.028
AR,5,Distribution box with MCCB for 3 ph 200 kVA DTs with CT operated energy meter,No.,84,69,153,23925,957
AR,6,HG Fuse sets 11 kV with insulators etc for 3 ph transformers - 200 Amp,Set,84,69,153,5075,203
AR,7,11 kv lightning Arrester,Nos,252,207,459,507.5,20.3
AR,8,"Pipe type earthing including supply of all materials like 40mm dia, 3M long GI pipe charcoal & salt as required in all kind of soil all complete as per REC construction drawing J-2 & approved drawing & TS including excavation, refilling with salt & charcoal , fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge",Nos,252,207,459,1305,52.2
AR,9,Nuts & Bolts,Kg,336,276,612,127.165,5.0866
AR,10,Supply for ACSR conductors,,0,0,0,0,0
AR,a,ACSR Dog Conductor,KM,1.68,1.38,3.06,82711.7,3308.468
AR,11,PG Clamps suitable for connection to ACSR Rabbit conductor,No.,504,414,918,181.25,7.25
AR,12,Crimping type heavy duty aluminium lugs suitable for connection in rewirable kit kat fuse & connecting ACSR conductor/ PVC cables,LS,1344,1104,2448,435,17.4
AR,13,Insulators as per TS,,0,0,0,0,0
AR,a,11 kV Disc insulator 45 KN (Single Disc) with hardware fittings suitable for ACSR Dog/ Rabbit/ Weasel conductor,Set,0,0,0,398.75,15.95
AR,b,11 kV Pin insulator with Pin,No.,0,0,0,108.75,4.35
AR,c,LT Pin insulator with Pin,No.,0,0,0,17.4,0.696
AR,d,LT Shackle insulator assembly complete as per specification (Type- II),No.,0,0,0,14.5,0.58
AR,14,"Stay set complete along with guy insulator, stay clamp, guy grip, stay base plate, 7/12 SWG GI stay wire complete as per specification and drawing",,0,0,0,0,0
AR,a,Stay wire 7/12 SWG,Set,0,0,0,507.5,20.3
AR,b,Stay Insulator,no.,0,0,0,21.75,0.87
AR,c,Stay Rod assembly,Set,0,0,0,725,29
AR,d,Stone stay Plate/ Stay Base plate ( 150 x 150 x 6 mm),Set,0,0,0,181.25,7.25
AR,15,Danger board (for both pole of new DSS),No.,0,0,0,116,4.64
AR,16,Anticlimbing device (for both pole of new DSS),No.,0,0,0,153.7,6.148
AR,17,1.1 kV grade 3&1/2 core 120 sqmm size PVC insulated PVC sheathed aluminium conductor cable,Meter,2520,2070,4590,52.2,2.088
AR,18,Stone base plate,Nos,0,0,0,181.25,7.25
AS,As,R&M of existing 11/0.433 KV DSS,,365,0,365,,
AS,1,3-Ph-200 KVA Distribution Transformer,No.,0,0,0,346695,13867.8
AS,2,9 mtrs long 400 kg PSC Pole,No.,0,0,0,5694.15,427.06125
AS,3,"Supply & fabrication of channel for supporting transformers/ AB switch, channel for supporting DO fuse & Las channel support for transformer belting, belting support, clamps for AB switch base channel 2 pairs, angle for LT distribution bus for DTs",Kg,21900,0,21900,95.7,3.828
AS,4,AB Switch 3 Pin type double break ( horizontal) 11 kV 3 pole 400 Amp,Set,365,0,365,13000.7,520.028
AS,5,Distribution box with MCCB for 3 ph 200 kVA DTs with CT operated energy meter,No.,0,0,0,23925,957
AS,6,HG Fuse sets 11 kV with insulators etc for 3 ph transformers - 200 Amp,Set,0,0,0,5075,203
AS,7,11 kv lightning Arrester,Nos,1095,0,1095,507.5,20.3
AS,8,Earthing for DTs ( treated),Nos,1095,0,1095,3045,121.8
AS,9,Nuts & Bolts,Kg,1825,0,1825,127.165,5.0866
AS,10,Supply for ACSR conductors,,0,0,0,0,0
AS,a,ACSR Dog Conductor,KM,7.3,0,7.3,82711.7,3308.468
AS,11,PG Clamps suitable for connection to ACSR Rabbit conductor,No.,1460,0,1460,181.25,7.25
AS,12,Crimping type heavy duty aluminium lugs suitable for connection in rewirable kit kat fuse & connecting ACSR conductor/ PVC cables,LS,1460,0,1460,362.5,14.5
AS,13,Insulators as per TS,,0,0,0,0,0
AS,a,11 kV Disc insulator 45 KN (Single Disc) with hardware fittings suitable for ACSR Dog/ Rabbit/ Weasel conductor,Set,0,0,0,398.75,15.95
AS,b,11 kV Pin insulator with Pin,No.,1095,0,1095,108.75,4.35
AS,c,LT Pin insulator with Pin,No.,0,0,0,17.4,0.696
AS,d,LT Shackle insulator assembly complete as per specification (Type- II),No.,5840,0,5840,14.5,0.58
AS,14,"Stay set complete along with guy insulator, stay clamp, guy grip, stay base plate, 7/12 SWG GI stay wire complete as per specification and drawing",,0,0,0,0,0
AS,a,Stay wire 7/12 SWG,Set,0,0,0,507.5,20.3
AS,b,Stay Insulator,no.,0,0,0,21.75,0.87
AS,c,Stay Rod assembly,Set,0,0,0,725,29
AS,d,Stone stay Plate/ Stay Base plate ( 150 x 150 x 6 mm),Set,0,0,0,181.25,7.25
AS,15,Danger board (for both pole of new DSS),No.,0,0,0,116,4.64
AS,16,Anticlimbing device (for both pole of new DSS),No.,0,0,0,153.7,6.148
AS,17,1.1 kV grade 3&1/2 core 120 sqmm size PVC insulated PVC sheathed aluminium conductor cable,Meter,7300,0,7300,52.2,2.088
AS,18,Stone base plate,Nos,0,0,0,181.25,7.25
AT,AT,"Construction of 3 Phase 4 Wire LT Line on 8M, 200 Kg PSC with ACSR Rabbit Conductor in Horizontal configuration",,67,19,86,,
AT,1,Route Survey,Kms,67,19,86,,0
AT,2,"PSC Pole, 200 KG, 8 M mtr. Long",No,1340,380,1720,3500,262.5
AT,3,Shackle Insulator & straps ( Type- II),Set,1608,456,2064,65.25,2.61
AT,4,ACSR Rabbit equivalent,Kms,276.04,78.28,354.32,42727.3,1709.092
AT,5,LT Pin insulator with Pin,No.,4288,1216,5504,17.4,0.696
AT,6,"Supply & fabrication of LT Brackett made of 75x40x6 mm MS Channel along with back clamp made of MS flat 50*6 mm ,Guard bracket made of MS angle 50*50*6 mm ,stay clamps & angle stay clamps and other fabricated materials",Kg,16750,4750,21500,95.7,3.828
AT,7,Stay set complete with GI stay wire preformed guy and stay base plate,Set,402,114,516,1724.05,68.962
AT,8,"Spiral type earthing as per REC construction drawing J-1 including supply of all materials like 8 SWG G.I. wire closely wound having 115 turns, 50mm dia & 450mm long coil (untreated without charcoal & salt) in all type of soil including excavation, refilling with earth, fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge (individual pole earthing)",Set,670,190,860,150.8,6.032
AT,9,Nuts & Bolts with plain and spring washer,Kg,1675,475,2150,127.165,5.0866
AT,10,Aluminium wire binding,Kg,33.5,9.5,43,210.25,8.41
AT,11,Preformed Jointing Sleeve,Nos.,0,0,0,130.5,88
AT,12,LT PVC Spacers,No,4020,1140,5160,65.25,2.61
AT,13,8 SWG 4 mm GI wire for Guarding & Lacing @ 1.1 Km per guard wire (101 Kg/Km of 8 SWG GI Wire),MT,3.015,0.855,3.87,71814.15,2872.566
AT,14,PG Clamps suitable for Rabbit/Weasel/Dog Conductors,Nos.,804,228,1032,181.25,7.25
AT,15,Stone base plate,Nos,1340,380,1720,181.25,7.25
AU,AU,"Construction of 3 Phase 4 Wire LT Line on 8M, 200 Kg PSC with ACSR Weasel Conductor in Horizontal configuration",,124,13,137,,
AU,1,Route Survey,Kms,124,13,137,0,0
AU,2,"PSC Pole, 200 KG, 8 M mtr. Long",No,2480,260,2740,3500,262.5
AU,3,Shackle Insulator & straps ( Type- II),Set,2976,312,3288,65.25,2.61
AU,4,ACSR Weasel equivalent,Kms,510.88,53.56,564.44,28727.3,1149.092
AU,5,LT Pin insulator with Pin,No.,7936,832,8768,17.4,0.696
AU,6,"Supply & fabrication of LT Brackett made of 75*40*6 mm MS Channel along with back clamp made of MS flat 50*6 mm ,Guard bracket made of MS angle 50*50*6 mm ,stay clamps & angle stay clamps and other fabricated materials",Kg,31000,3250,34250,95.7,3.828
AU,7,Stay set complete with GI stay wire preformed guy and stay base plate,Set,744,78,822,1724.05,68.962
AU,8,"Spiral type earthing as per REC construction drawing J-1 including supply of all materials like 8 SWG G.I. wire closely wound having 115 turns, 50mm dia & 450mm long coil (untreated without charcoal & salt) in all type of soil including excavation, refilling with earth, fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge (individual pole earthing)",Set,1240,130,1370,150.8,6.032
AU,9,Nuts & Bolts with plain and spring washer,Kg,3100,325,3425,127.165,5.0866
AU,10,Aluminium wire binding,Kg,62,6.5,68.5,210.25,8.41
AU,11,Preformed Jointing Sleeve,Nos.,0,0,0,130.5,5.22
AU,12,LT PVC Spacers,No,7440,780,8220,65.25,2.61
AU,13,8 SWG 4 mm GI wire for Guarding & Lacing @ 1.1 Km per guard wire (101 Kg/Km of 8 SWG GI Wire),MT,5.58,0.585,6.165,71814.15,2872.566
AU,14,PG Clamps suitable for Rabbit/Weasel/Dog Conductors,Nos.,1488,156,1644,181.25,7.25
AU,15,Stone base plate,Nos,2480,260,2740,181.25,7.25
AV,AV,"R&M of 3-Ph, 4 Wire LT line with ACSR Rabbit conductor",,25,13,38,,
AV,1,Route Survey,Kms,25,13,38,0,0
AV,2,"PSC Pole, 200 KG, 8 M mtr. Long",No,125,65,190,3500,262.5
AV,3,Shackle Insulator & straps ( Type- II),Set,500,260,760,65.25,2.61
AV,4,ACSR Rabbit equivalent,Kms,103,53.56,156.56,28727.3,1149.092
AV,5,LT Pin insulator with Pin,No.,500,260,760,17.4,0.696
AV,6,"Supply & fabrication of LT Brackett made of 75*40*6 mm MS Channel along with back clamp made of MS flat 50*6 mm ,Guard bracket made of MS angle 50*50*6 mm ,stay clamps & angle stay clamps and other fabricated materials",Kg,1500,780,2280,95.7,3.828
AV,7,Stay set complete with GI stay wire preformed guy and stay base plate,Set,50,26,76,1724.05,68.962
AV,8,"Spiral type earthing as per REC construction drawing J-1 including supply of all materials like 8 SWG G.I. wire closely wound having 115 turns, 50mm dia & 450mm long coil (untreated without charcoal & salt) in all type of soil including excavation, refilling with earth, fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge (individual pole earthing)",Set,250,130,380,150.8,6.032
AV,9,Nuts & Bolts with plain and spring washer,Kg,250,130,380,127.165,5.0866
AV,10,Aluminium wire binding,Kg,12.5,6.5,19,210.25,8.41
AV,11,Preformed Jointing Sleeve,Nos.,0,0,0,130.5,5.22
AV,12,LT PVC Spacers,No,1500,780,2280,65.25,2.61
