Name of Drawing,Type of Line,Type of Pole,Type of Structure,Drawing No,No of Sets required,S.No,ERE Code,Description,Section,Length (mm),Qty/set (Nos),"Wt/Mtr
(Kg)",Total Wt in KG,Required Qty,Required Wt
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT Horizontal,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-014 Rev No 00,1,4,804,Channel support for operating handle(ISLC),75x40x6,445,1,5.7,2.537,1,2.537
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT Horizontal,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-014 Rev No 00,1,5,805,HG Fuse Mounting channel(ISLC),75x40x6,2710,2,5.7,30.894,2,30.894
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT Horizontal,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-014 Rev No 00,1,6,806,Transformer base channel(ISLC),100x50x6,2670,2,7.9,42.186,2,42.186
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT Horizontal,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-014 Rev No 00,1,7,807,Transformer side base channel(ISLC),75x40x6,515,4,5.7,11.742,4,11.742
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT Horizontal,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-014 Rev No 00,1,8,808,Angle support for operating pipe,50x50x6,378,1,4.5,1.701,1,1.701
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT Horizontal,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-014 Rev No 00,1,9,809,Transformer Belting Angle,50x50x6,2680,2,4.5,24.12,2,24.120
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT Horizontal,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-014 Rev No 00,1,10,810,Transformer side belting angle,50x50x6,635,4,4.5,11.43,4,11.430
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT Horizontal,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-014 Rev No 00,1,11,811,LTDB Fixing Angle,50x50x6,2710,2,4.5,24.39,2,24.390
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT Horizontal,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-014 Rev No 00,1,12,812,Stay Set Clamp,50x10,363,4,3.93,5.706,4,5.706
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT Horizontal,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-014 Rev No 00,1,13,813,Back clamp for Operating pipe angle,50x8,533,1,3.14,1.674,1,1.674
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT Horizontal,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-014 Rev No 00,1,14,814,Back clamp for HG fuse,50x8,557,4,3.14,6.996,4,6.996
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT Horizontal,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-014 Rev No 00,1,15,815,Dummy clamp for Transformer side Base Channel,50x8,432,4,3.14,5.426,4,5.426
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT Horizontal,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-014 Rev No 00,1,16,816,Top clamp for LTDB,50x8,645,2,3.14,4.051,2,4.051
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT Horizontal,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-014 Rev No 00,1,17,817,Bottom clamp for LTDB,50x8,673,2,3.14,4.226,2,4.226
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT Horizontal,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-014 Rev No 00,1,18,818,Back clamp for operating handle,50x8,721,1,3.14,2.264,1,2.264
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT Horizontal,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-014 Rev No 00,1,19,823,LT Horizontal cross arm(ISLC),75x40x6,1110,1,5.7,6.327,1,6.327
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT Horizontal,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-014 Rev No 00,1,20,824,Back clamp for LT Horizontal cross arm,50x8,456,1,3.14,1.432,1,1.432
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT AB Cable,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-015 Rev No 00,1,1,801,Top Channel(ISLC),100x50x6,2680,2,7.9,42.344,2,42.344
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT AB Cable,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-015 Rev No 00,1,2,802,AB Switch Mounting Channel(ISLC),75x40x6,2670,2,5.7,30.438,2,30.438
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT AB Cable,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-015 Rev No 00,1,3,803,AB Switch Supporting channel (ISLC),75x40x6,510,4,5.7,11.628,4,11.628
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT AB Cable,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-015 Rev No 00,1,4,804,Channel support for operating handle(ISLC),75x40x6,445,1,5.7,2.537,1,2.537
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT AB Cable,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-015 Rev No 00,1,5,805,HG Fuse Mounting channel(ISLC),75x40x6,2710,2,5.7,30.894,2,30.894
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT AB Cable,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-015 Rev No 00,1,6,806,Transformer base channel(ISLC),100x50x6,2670,2,7.9,42.186,2,42.186
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT AB Cable,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-015 Rev No 00,1,7,807,Transformer side base channel(ISLC),75x40x6,515,4,5.7,11.742,4,11.742
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT AB Cable,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-015 Rev No 00,1,8,808,Angle support for operating pipe,50x50x6,378,1,4.5,1.701,1,1.701
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT AB Cable,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-015 Rev No 00,1,9,809,Transformer Belting Angle,50x50x6,2680,2,4.5,24.12,2,24.120
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT AB Cable,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-015 Rev No 00,1,10,810,Transformer side belting angle,50x50x6,635,4,4.5,11.43,4,11.430
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT AB Cable,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-015 Rev No 00,1,11,811,LTDB Fixing Angle,50x50x6,2710,2,4.5,24.39,2,24.390
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT AB Cable,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-015 Rev No 00,1,12,812,Stay Set Clamp,50x10,363,4,3.93,5.706,4,5.706
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT AB Cable,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-015 Rev No 00,1,13,813,Back clamp for Operating pipe angle,50x8,533,1,3.14,1.674,1,1.674
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT AB Cable,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-015 Rev No 00,1,14,814,Back clamp for HG fuse,50x8,557,4,3.14,6.996,4,6.996
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT AB Cable,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-015 Rev No 00,1,15,815,Dummy clamp for Transformer side Base Channel,50x8,432,4,3.14,5.426,4,5.426
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT AB Cable,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-015 Rev No 00,1,16,816,Top clamp for LTDB,50x8,645,2,3.14,4.051,2,4.051
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT AB Cable,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-015 Rev No 00,1,17,817,Bottom clamp for LTDB,50x8,673,2,3.14,4.226,2,4.226
11/0.433kV 63kV DTR arrangment on DP 8M/200KG (Dead End Location) with LT AB Cable,DTR,8M/200kG,DP,SSEL-SBPDCL-DTR-015 Rev No 00,1,18,818,Back clamp for operating handle,50x8,721,1,3.14,2.264,1,2.264
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,1,902,AB Switch Mounting Channel(ISLC),75x40x6,2680,2,5.7,30.552,2,30.552
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,2,903,AB Switch Supporting channel (ISLC),75x40x6,510,4,5.7,11.628,4,11.628
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,3,904,Channel support for operating handle(ISLC),75x40x6,450,1,5.7,2.565,1,2.565
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,4,905,HG Fuse Mounting channel(ISLC),75x40x6,2720,2,5.7,31.008,2,31.008
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,5,906,Transformer base channel(ISLC),100x50x6,2680,2,7.9,42.344,2,42.344
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,6,907,Transformer side base channel(ISLC),75x40x6,515,4,5.7,11.742,4,11.742
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,7,908,Angle support for operating pipe,50x50x6,383,1,4.5,1.724,1,1.724
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,8,909,Transformer Belting Angle,50x50x6,2690,2,4.5,24.210,2,24.210
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,9,910,Transformer side belting angle,50x50x6,635,4,4.5,11.430,4,11.430
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,10,911,LTDB Fixing Angle,50x50x6,2720,2,4.5,24.480,2,24.480
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,11,913,Back clamp for Operating pipe angle,50x8,705,1,3.14,2.214,1,2.214
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,12,914,Back clamp for HG fuse,50x8,741,4,3.14,9.307,4,9.307
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,13,915,Dummy clamp for Transformer side Base Channel,50x8,535,4,3.14,6.72,4,6.720
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,14,916,Top clamp for LTDB,50x8,859,2,3.14,5.395,2,5.395
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,15,917,Bottom clamp for LTDB,50x8,889,2,3.14,5.583,2,5.583
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,16,918,Back clamp for operating handle,50x8,937,1,3.14,2.942,1,2.942
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,17,919,Shackle insulator support channel(ISLC),75x40x6,450,2,5.7,5.130,2,5.130
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,18,920,Shackle insulator Mounting channel(ISLC),75x40x6,1000,1,5.7,5.700,1,5.700
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,19,921,Top clamp for shackle insulator support channel,50x8,703,1,3.14,2.207,1,2.207
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,20,922,Bottom clamp for shackle insulator support channel,50x6,727,1,3.14,2.283,1,2.283
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,21,925,Pole Top Bracket,50x8,497,2,3.14,3.121,2,3.121
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,22,926,V-X Arm,75x40x6,1407,2,5.7,16.04,2,16.040
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,23,926-i,Weld Pices for V-X Arm,50x6,50,8,2.36,0.944,8,0.944
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,24,927,Back clamp for V-X Arm,50x8,535,2,3.14,3.36,2,3.360
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,25,928,LT Mounting Angle,50x50x6,2720,1,4.5,12.24,1,12.240
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,26,929,Back clamp for LT Mounting Angle,50x8,673,2,3.14,4.226,2,4.226
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Vertical,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-016 Rev No 00,1,27,930,Stay Set clamp,50x10,457,4,3.93,7.184,4,7.184
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,1,902,AB Switch Mounting Channel(ISLC),75x40x6,2680,2,5.7,30.552,2,30.552
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,2,903,AB Switch Supporting channel (ISLC),75x40x6,510,4,5.7,11.628,4,11.628
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,3,904,Channel support for operating handle(ISLC),75x40x6,450,1,5.7,2.565,1,2.565
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,4,905,HG Fuse Mounting channel(ISLC),75x40x6,2720,2,5.7,31.008,2,31.008
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,5,906,Transformer base channel(ISLC),100x50x6,2680,2,7.9,42.344,2,42.344
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,6,907,Transformer side base channel(ISLC),75x40x6,515,4,5.7,11.742,4,11.742
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,7,908,Angle support for operating pipe,50x50x6,383,1,4.5,1.724,1,1.724
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,8,909,Transformer Belting Angle,50x50x6,2690,2,4.5,24.210,2,24.210
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,9,910,Transformer side belting angle,50x50x6,635,4,4.5,11.430,4,11.430
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,10,911,LTDB Fixing Angle,50x50x6,2720,2,4.5,24.480,2,24.480
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,11,913,Back clamp for Operating pipe angle,50x8,705,1,3.14,2.214,1,2.214
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,12,914,Back clamp for HG fuse,50x8,741,4,3.14,9.307,4,9.307
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,13,915,Dummy clamp for Transformer side Base Channel,50x8,535,4,3.14,6.72,4,6.720
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,14,916,Top clamp for LTDB,50x8,859,2,3.14,5.395,2,5.395
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,15,917,Bottom clamp for LTDB,50x8,889,2,3.14,5.583,2,5.583
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,16,918,Back clamp for operating handle,50x8,937,1,3.14,2.942,1,2.942
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,17,923,LT Horizontal cross arm(ISLC),75x40x6,1110,1,5.7,6.327,1,6.327
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,18,924,Back clamp for LT Horizontal cross arm,50x8,556,1,3.14,1.746,1,1.746
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,19,925,Pole Top Bracket,50x8,497,2,3.14,3.121,2,3.121
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,20,926,V-X Arm,75x40x6,1407,2,5.7,16.04,2,16.040
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,,926-i,Weld Pices for V-X Arm,50x6,50,8,2.36,0.944,8,0.944
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,21,927,Back clamp for V-X Arm,50x8,535,2,3.14,3.36,2,3.360
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,22,928,LT Mounting Angle,50x50x6,2720,1,4.5,12.24,1,12.240
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,23,929,Back clamp for LT Mounting Angle,50x8,673,2,3.14,4.226,2,4.226
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT Horizontal,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-017 Rev No 00,1,24,930,Stay Set clamp,50x10,457,4,3.93,7.184,4,7.184
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT AB Cable,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-018 Rev No 00,1,1,902,AB Switch Mounting Channel(ISLC),75x40x6,2680,2,5.7,30.552,2,30.552
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT AB Cable,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-018 Rev No 00,1,2,903,AB Switch Supporting channel (ISLC),75x40x6,510,4,5.7,11.628,4,11.628
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT AB Cable,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-018 Rev No 00,1,3,904,Channel support for operating handle(ISLC),75x40x6,450,1,5.7,2.565,1,2.565
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT AB Cable,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-018 Rev No 00,1,4,905,HG Fuse Mounting channel(ISLC),75x40x6,2720,2,5.7,31.008,2,31.008
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT AB Cable,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-018 Rev No 00,1,5,906,Transformer base channel(ISLC),100x50x6,2680,2,7.9,42.344,2,42.344
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT AB Cable,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-018 Rev No 00,1,6,907,Transformer side base channel(ISLC),75x40x6,515,4,5.7,11.742,4,11.742
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT AB Cable,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-018 Rev No 00,1,7,908,Angle support for operating pipe,50x50x6,383,1,4.5,1.724,1,1.724
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT AB Cable,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-018 Rev No 00,1,8,909,Transformer Belting Angle,50x50x6,2690,2,4.5,24.210,2,24.210
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT AB Cable,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-018 Rev No 00,1,9,910,Transformer side belting angle,50x50x6,635,4,4.5,11.430,4,11.430
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT AB Cable,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-018 Rev No 00,1,10,911,LTDB Fixing Angle,50x50x6,2720,2,4.5,24.480,2,24.480
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT AB Cable,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-018 Rev No 00,1,11,913,Back clamp for Operating pipe angle,50x8,705,1,3.14,2.214,1,2.214
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT AB Cable,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-018 Rev No 00,1,12,914,Back clamp for HG fuse,50x8,741,4,3.14,9.307,4,9.307
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT AB Cable,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-018 Rev No 00,1,13,915,Dummy clamp for Transformer side Base Channel,50x8,535,4,3.14,6.72,4,6.720
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT AB Cable,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-018 Rev No 00,1,14,916,Top clamp for LTDB,50x8,859,2,3.14,5.395,2,5.395
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT AB Cable,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-018 Rev No 00,1,15,917,Bottom clamp for LTDB,50x8,889,2,3.14,5.583,2,5.583
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT AB Cable,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-018 Rev No 00,1,16,918,Back clamp for operating handle,50x8,937,1,3.14,2.942,1,2.942
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT AB Cable,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-018 Rev No 00,1,17,925,Pole Top Bracket,50x8,497,2,3.14,3.121,2,3.121
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT AB Cable,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-018 Rev No 00,1,18,926,V-X Arm,75x40x6,1407,2,5.7,16.04,2,16.040
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT AB Cable,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-018 Rev No 00,1,,926-i,Weld Pices for V-X Arm,50x6,50,8,2.36,0.944,8,0.944
11/0.433kV 100kV DTR arrangment on DP 9M/400KG (In Line Location with V x arm) with LT AB Cable,DTR,9M/400kG,DP,SSEL-SBPDCL-DTR-018 Rev No 00,1,19,927,Back clamp for V-X Arm,50x8,535,2,3.14,3.36,2,3.360
